precio,ambientes,no_baños,terreno_m2,año_constr,no_dormitorios,area_constr_m2,estacionamientos,latitud,longitud,tipo_de_propiedad,ofertado_como,ciudad,zona,provincia,dpto
67000.0,8.0,2.0,320.0,2017,3.0,140.0,,-17.769,-63.066,Casa,En Venta,Santa Cruz de la Sierra,Este, Andrés Ibáñez, Santa Cruz
67000.0,5.0,2.0,91.0,2018,2.0,91.0,,-17.804,-63.157,Departamento,En Venta,Santa Cruz de la Sierra,Sur, Andrés Ibáñez, Santa Cruz
68000.0,,2.0,193.0,2015,3.0,87.0,,-17.836,-63.245,Casa,En Venta,Santa Cruz de la Sierra,Suroeste, Andrés Ibáñez, Santa Cruz
68000.0,2.0,1.0,,2016,1.0,62.83,,-17.755,-63.196,Departamento,En Venta,Santa Cruz de la Sierra,Equipetrol/NorOeste, Andrés Ibáñez, Santa Cruz
68000.0,8.0,2.0,300.0,2022,3.0,110.0,,-17.653,-63.173,Casa,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
68000.0,5.0,2.0,250.0,2021,3.0,98.0,2.0,-17.792,-63.093,Casa,En Venta,Santa Cruz de la Sierra,Este, Andrés Ibáñez, Santa Cruz
68000.0,,1.0,,2022,1.0,59.5,,-17.787,-63.221,Departamento,En Venta,Santa Cruz de la Sierra,Oeste, Andrés Ibáñez, Santa Cruz
68000.0,6.0,2.0,336.0,2023,3.0,198.0,,-17.846,-63.097,Casa,En Venta,Santa Cruz de la Sierra,Sureste, Andrés Ibáñez, Santa Cruz
68000.0,5.0,1.0,,2017,2.0,68.0,1.0,-17.792,-63.224,Departamento,En Venta,Santa Cruz de la Sierra,Oeste, Andrés Ibáñez, Santa Cruz
68000.0,7.0,2.0,260.5,2019,3.0,120.0,,-17.791,-63.089,Casa,En Venta,Santa Cruz de la Sierra,Este, Andrés Ibáñez, Santa Cruz
68000.0,8.0,2.0,260.5,2019,3.0,120.0,,-17.791,-63.089,Casa,En Venta,Santa Cruz de la Sierra,Este, Andrés Ibáñez, Santa Cruz
68000.0,8.0,2.0,260.5,2019,3.0,120.0,,-17.791,-63.089,Casa,En Venta,Santa Cruz de la Sierra,Este, Andrés Ibáñez, Santa Cruz
68000.0,,2.0,260.5,2019,3.0,120.0,,-17.791,-63.089,Casa,En Venta,Santa Cruz de la Sierra,Este, Andrés Ibáñez, Santa Cruz
68000.0,8.0,3.0,360.0,2020,3.0,180.0,,-17.731,-63.078,Casa,En Venta,Santa Cruz de la Sierra,Este, Andrés Ibáñez, Santa Cruz
68000.0,8.0,2.0,240.0,2020,3.0,200.0,,-17.847,-63.275,Casa,En Venta,Santa Cruz de la Sierra,Sur, Andrés Ibáñez, Santa Cruz
68500.0,5.0,2.0,85.0,2018,2.0,85.0,,-17.804,-63.157,Departamento,En Venta,Santa Cruz de la Sierra,Sur, Andrés Ibáñez, Santa Cruz
68660.0,9.0,2.0,,2022,2.0,78.4,,-17.764,-63.248,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
69000.0,,1.0,,2018,1.0,56.96,,-17.792,-63.176,Departamento,En Venta,Santa Cruz de la Sierra,Sur, Andrés Ibáñez, Santa Cruz
69000.0,3.0,1.0,35.0,2016,1.0,35.0,12.0,-17.758,-63.199,Estudio/Monoambiente,En Venta,Santa Cruz de la Sierra,Equipetrol/NorOeste, Andrés Ibáñez, Santa Cruz
69300.0,,2.0,,2024,2.0,56.0,,-17.765,-63.194,Departamento,En Venta,Santa Cruz de la Sierra,Equipetrol/NorOeste, Andrés Ibáñez, Santa Cruz
69500.0,5.0,2.0,150.0,2023,3.0,145.0,,-17.756,-63.079,Casa,En Venta,Santa Cruz de la Sierra,Este, Andrés Ibáñez, Santa Cruz
69500.0,8.0,3.0,150.0,2023,3.0,135.0,,-17.756,-63.078,Casa,En Venta,Santa Cruz de la Sierra,Este, Andrés Ibáñez, Santa Cruz
